kode_alternatif,kode_unor,unor,kode_jabatan,nama_jabatan,jenis_jabatan,abk,eksisting_asn,eksisting_non_asn,kebutuhan_ideal,pensiun_5th,kebutuhan_prioritas_unor,rasio_kebutuhan_unor,rasio_norm,nilai_jabatan,rasio_pemenuhan_unor,skala_keb_prioritas
A136,OPD-57,PKM PESANTREN 1,JP-08,PENELAAH TEKNIS KEBIJAKAN,PELAKSANA,1,0,0,1,0,1,1,1,1,0.577777778,2
A137,OPD-58,PKM PESANTREN 2,JFK-05,BIDAN TERAMPIL,FUNGSIONAL KESEHATAN,11,5,2,4,0,1,0.090909091,0.090909091,3,0.424,3
A138,OPD-58,PKM PESANTREN 2,JFK-06,DOKTER AHLI PERTAMA,FUNGSIONAL KESEHATAN,3,2,0,1,0,1,0.333333333,0.333333333,3,0.424,4
A139,OPD-58,PKM PESANTREN 2,JFK-07,DOKTER GIGI AHLI PERTAMA,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.424,3
A140,OPD-58,PKM PESANTREN 2,JFK-23,NUTRISIONIS TERAMPIL,FUNGSIONAL KESEHATAN,2,1,0,1,0,1,0.5,0.5,3,0.424,2
A141,OPD-58,PKM PESANTREN 2,JFK-27,PERAWAT TERAMPIL,FUNGSIONAL KESEHATAN,13,1,2,10,0,5,0.384615385,0.384615385,3,0.424,3
A142,OPD-58,PKM PESANTREN 2,JFK-31,PROMOSI KESEHATAN DAN ILMU PERILAKU TERAMPIL,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.424,3
A143,OPD-58,PKM PESANTREN 2,JP-03,OPERATOR LAYANAN OPERASIONAL,PELAKSANA,7,0,5,2,0,1,0.142857143,0.142857143,1,0.424,3
A144,OPD-58,PKM PESANTREN 2,JP-09,PENGADMINISTRASI PERKANTORAN,PELAKSANA,6,1,2,3,2,2,0.333333333,0.333333333,1,0.424,4
A145,OPD-58,PKM PESANTREN 2,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,3,1,0,2,0,1,0.333333333,0.333333333,1,0.424,2
A146,OPD-59,PKM SUKORAME,JFK-03,ASISTEN APOTEKER TERAMPIL,FUNGSIONAL KESEHATAN,2,0,1,1,0,1,0.5,0.5,3,0.505154639,3
A147,OPD-59,PKM SUKORAME,JFK-22,EPIDEMIOLOG KESEHATAN TERAMPIL,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.505154639,3
A148,OPD-59,PKM SUKORAME,JFK-25,PENYULUH KESEHATAN MASYARAKAT AHLI PERTAMA,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.505154639,4
A149,OPD-59,PKM SUKORAME,JFK-27,PERAWAT TERAMPIL,FUNGSIONAL KESEHATAN,9,1,1,7,0,3,0.333333333,0.333333333,3,0.505154639,3
A150,OPD-59,PKM SUKORAME,JFK-30,PRANATA LABORATORIUM KESEHATAN TERAMPIL,FUNGSIONAL KESEHATAN,2,1,0,1,0,1,0.5,0.5,3,0.505154639,3
A151,OPD-59,PKM SUKORAME,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,2,0,0,2,0,2,1,1,1,0.505154639,4
